"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","R","G","B","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","A","20.73","0.207","0.207","80.0","64.6","44.4","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","21.23","0.212","0.212","79.4","64.6","44.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","21.73","0.217","0.217","79.3","65.0","45.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","22.23","0.222","0.222","78.3","63.7","44.0","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","22.73","0.227","0.227","76.2","61.5","41.8","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","23.23","0.232","0.232","78.0","62.8","42.7","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","23.73","0.237","0.237","78.3","62.7","42.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","24.23","0.242","0.242","77.7","62.3","42.3","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","24.73","0.247","0.247","78.6","63.1","43.1","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","25.23","0.252","0.252","77.5","62.3","42.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","25.73","0.257","0.257","78.8","63.3","43.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","26.23","0.262","0.262","74.4","59.9","41.4","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","26.73","0.267","0.267","76.6","61.5","42.0","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","27.23","0.272","0.272","72.7","57.1","38.1","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","27.73","0.277","0.277","76.3","60.5","41.1","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
