offset(cm),X,Y,Z,L,*a,*b,Hue,Chroma,sensor_temp(C),dark_pixel,data_type,bin_interval(nm),start_wavelength,end_wavelength,time(us),400.0, 402.0, 404.0, 406.0, 408.0, 410.0, 412.0, 414.0, 416.0, 418.0, 420.0, 422.0, 424.0, 426.0, 428.0, 430.0, 432.0, 434.0, 436.0, 438.0, 440.0, 442.0, 444.0, 446.0, 448.0, 450.0, 452.0, 454.0, 456.0, 458.0, 460.0, 462.0, 464.0, 466.0, 468.0, 470.0, 472.0, 474.0, 476.0, 478.0, 480.0, 482.0, 484.0, 486.0, 488.0, 490.0, 492.0, 494.0, 496.0, 498.0, 500.0, 502.0, 504.0, 506.0, 508.0, 510.0, 512.0, 514.0, 516.0, 518.0, 520.0, 522.0, 524.0, 526.0, 528.0, 530.0, 532.0, 534.0, 536.0, 538.0, 540.0, 542.0, 544.0, 546.0, 548.0, 550.0, 552.0, 554.0, 556.0, 558.0, 560.0, 562.0, 564.0, 566.0, 568.0, 570.0, 572.0, 574.0, 576.0, 578.0, 580.0, 582.0, 584.0, 586.0, 588.0, 590.0, 592.0, 594.0, 596.0, 598.0, 600.0, 602.0, 604.0, 606.0, 608.0, 610.0, 612.0, 614.0, 616.0, 618.0, 620.0, 622.0, 624.0, 626.0, 628.0, 630.0, 632.0, 634.0, 636.0, 638.0, 640.0, 642.0, 644.0, 646.0, 648.0, 650.0, 652.0, 654.0, 656.0, 658.0, 660.0, 662.0, 664.0, 666.0, 668.0, 670.0, 672.0, 674.0, 676.0, 678.0, 680.0, 682.0, 684.0, 686.0, 688.0, 690.0, 692.0, 694.0, 696.0, 698.0, 700.0, 702.0, 704.0, 706.0, 708.0, 710.0, 712.0, 714.0, 716.0, 718.0, 720.0, 722.0, 724.0, 726.0, 728.0, 730.0, 732.0, 734.0, 736.0, 738.0, 740.0, 742.0, 744.0, 746.0, 748.0, 750.0, 752.0, 754.0, 756.0, 758.0, 760.0, 762.0, 764.0, 766.0, 768.0, 770.0, 772.0, 774.0, 776.0, 778.0, 780.0, 782.0, 784.0, 786.0, 788.0, 790.0, 792.0, 794.0, 796.0, 798.0, 800.0, 802.0, 804.0, 806.0, 808.0, 810.0, 812.0, 814.0, 816.0, 818.0, 820.0, 822.0, 824.0, 826.0, 828.0, 830.0, 832.0, 834.0, 836.0, 838.0, 840.0, 842.0, 844.0, 846.0, 848.0, 850.0, 852.0, 854.0, 856.0, 858.0, 860.0, 862.0, 864.0, 866.0, 868.0, 870.0, 872.0, 874.0, 876.0, 878.0, 880.0, 882.0, 884.0, 886.0, 888.0, 890.0, 892.0, 894.0, 896.0, 898.0, 900.0

1.97,11.957 ,11.888 ,9.497 ,41.038 ,4.869 ,9.233 ,10.438 ,62.196 ,39.997,1343,NORM,2,400,900,663000,6.511, 6.540, 6.544, 6.561, 6.581, 6.600, 6.713, 6.714, 6.729, 6.778, 6.808, 6.829, 6.832, 6.901, 7.018, 7.090, 7.207, 7.355, 7.378, 7.408, 7.467, 7.625, 7.657, 7.692, 7.769, 7.769, 7.871, 7.969, 8.003, 8.182, 8.230, 8.333, 8.421, 8.461, 8.465, 8.507, 8.513, 8.565, 8.657, 8.670, 8.698, 8.740, 8.740, 8.763, 8.881, 8.893, 9.048, 9.094, 9.296, 9.396, 9.430, 9.578, 9.631, 9.702, 9.788, 10.030, 10.094, 10.119, 10.167, 10.183, 10.353, 10.458, 10.618, 10.653, 10.767, 10.922, 11.048, 11.123, 11.218, 11.376, 11.623, 11.636, 11.778, 11.877, 11.952, 11.966, 12.249, 12.271, 12.381, 12.408, 12.581, 12.707, 12.777, 12.917, 12.961, 13.041, 13.142, 13.238, 13.286, 13.346, 13.480, 13.488, 13.635, 13.688, 13.712, 13.819, 13.824, 13.853, 13.986, 13.997, 14.126, 14.176, 14.216, 14.244, 14.264, 14.314, 14.314, 14.424, 14.428, 14.494, 14.539, 14.597, 14.695, 14.697, 14.732, 14.784, 14.814, 14.821, 14.862, 14.925, 14.931, 15.026, 15.096, 15.101, 15.179, 15.199, 15.199, 15.281, 15.364, 15.460, 15.497, 15.499, 15.615, 15.696, 15.704, 15.719, 15.767, 15.769, 15.865, 15.888, 15.918, 16.031, 16.094, 16.138, 16.187, 16.309, 16.338, 16.339, 16.480, 16.483, 16.527, 16.595, 16.631, 16.814, 16.817, 16.842, 16.868, 16.868, 16.945, 16.964, 17.008, 17.077, 17.211, 17.239, 17.244, 17.317, 17.326, 17.427, 17.517, 17.595, 17.608, 17.621, 17.665, 17.852, 17.878, 18.064, 18.116, 18.143, 18.143, 18.143, 18.229, 18.229, 18.479, 18.479, 18.558, 18.591, 18.597, 18.591, 18.597, 18.727, 18.828, 18.925, 18.898, 18.898, 18.925, 18.925, 19.190, 19.295, 19.285, 19.330, 19.338, 19.516, 19.516, 19.516, 19.516, 19.516, 19.516, 19.559, 19.604, 19.622, 19.785, 19.836, 19.836, 19.834, 19.834, 19.988, 20.095, 20.096, 20.216, 20.216, 20.323, 20.323, 20.348, 20.497, 20.416, 20.497, 20.497, 20.497, 20.523, 20.670, 20.670, 20.718, 20.918, 20.918, 20.918, 20.918, 20.993, 20.993, 20.822, 20.744, 20.822, 20.926, 20.926, 20.926, 21.132, 21.132, 21.132, 21.279, 21.279, 21.601, 21.838
3.97,12.745 ,12.689 ,10.299 ,42.291 ,4.865 ,8.951 ,10.188 ,61.473 ,39.997,1350,NORM,2,400,900,663000,7.206, 7.206, 7.243, 7.257, 7.268, 7.290, 7.313, 7.371, 7.421, 7.447, 7.480, 7.491, 7.499, 7.522, 7.640, 7.759, 7.834, 8.045, 8.166, 8.215, 8.241, 8.329, 8.338, 8.400, 8.408, 8.427, 8.523, 8.580, 8.805, 8.831, 8.940, 9.010, 9.052, 9.052, 9.069, 9.112, 9.112, 9.117, 9.117, 9.140, 9.148, 9.279, 9.279, 9.385, 9.485, 9.501, 9.729, 9.764, 9.920, 10.034, 10.090, 10.291, 10.432, 10.438, 10.543, 10.733, 10.864, 10.873, 11.024, 11.083, 11.171, 11.177, 11.335, 11.491, 11.595, 11.762, 11.882, 11.960, 12.080, 12.200, 12.391, 12.409, 12.604, 12.701, 12.801, 12.849, 12.997, 13.099, 13.220, 13.275, 13.441, 13.527, 13.624, 13.782, 13.787, 13.861, 13.882, 14.119, 14.176, 14.178, 14.284, 14.352, 14.481, 14.493, 14.632, 14.656, 14.663, 14.781, 14.839, 14.904, 14.952, 14.996, 15.068, 15.103, 15.111, 15.156, 15.189, 15.298, 15.327, 15.368, 15.414, 15.462, 15.508, 15.546, 15.579, 15.609, 15.717, 15.722, 15.730, 15.779, 15.892, 15.947, 16.022, 16.064, 16.092, 16.118, 16.131, 16.214, 16.226, 16.238, 16.355, 16.414, 16.465, 16.508, 16.577, 16.615, 16.661, 16.742, 16.770, 16.855, 16.868, 17.001, 17.057, 17.153, 17.153, 17.234, 17.270, 17.318, 17.341, 17.385, 17.467, 17.542, 17.572, 17.572, 17.649, 17.780, 17.814, 17.829, 17.872, 17.925, 17.966, 18.003, 18.171, 18.182, 18.197, 18.213, 18.214, 18.225, 18.297, 18.443, 18.556, 18.585, 18.609, 18.706, 18.791, 18.846, 18.971, 18.998, 19.071, 19.222, 19.251, 19.254, 19.254, 19.254, 19.358, 19.425, 19.539, 19.672, 19.679, 19.742, 19.851, 19.907, 19.890, 19.907, 19.947, 19.996, 20.009, 20.263, 20.263, 20.277, 20.447, 20.453, 20.453, 20.453, 20.488, 20.489, 20.533, 20.533, 20.601, 20.660, 20.707, 20.746, 20.754, 21.012, 21.012, 21.012, 21.073, 21.261, 21.073, 21.122, 21.442, 21.154, 21.405, 21.405, 21.405, 21.405, 21.405, 21.405, 21.521, 21.568, 21.521, 21.749, 21.845, 22.200, 22.200, 21.976, 21.976, 21.976, 21.906, 21.906, 21.906, 21.906, 21.906, 22.040, 22.120, 22.147, 22.147, 22.220, 22.333, 22.434, 22.434
5.97,11.757 ,11.709 ,9.007 ,40.750 ,4.706 ,10.297 ,11.321 ,65.437 ,39.997,1351,NORM,2,400,900,663000,6.052, 6.012, 6.012, 6.012, 6.012, 6.042, 6.149, 6.152, 6.185, 6.225, 6.225, 6.241, 6.256, 6.256, 6.331, 6.498, 6.738, 6.747, 6.849, 6.860, 6.946, 7.096, 7.145, 7.161, 7.183, 7.311, 7.521, 7.527, 7.629, 7.847, 7.856, 7.919, 8.116, 8.227, 8.285, 8.325, 8.374, 8.547, 8.548, 8.640, 8.685, 8.721, 8.874, 8.907, 8.918, 8.951, 8.959, 9.055, 9.125, 9.174, 9.219, 9.434, 9.495, 9.497, 9.521, 9.697, 9.884, 9.890, 10.001, 10.008, 10.117, 10.161, 10.392, 10.545, 10.570, 10.728, 10.802, 10.891, 11.015, 11.176, 11.356, 11.390, 11.515, 11.689, 11.789, 11.852, 11.959, 12.028, 12.182, 12.252, 12.398, 12.495, 12.576, 12.683, 12.718, 12.847, 12.964, 13.070, 13.091, 13.125, 13.260, 13.333, 13.493, 13.497, 13.548, 13.619, 13.655, 13.810, 13.814, 13.884, 13.960, 14.034, 14.035, 14.074, 14.090, 14.171, 14.190, 14.289, 14.346, 14.378, 14.423, 14.527, 14.576, 14.579, 14.608, 14.642, 14.746, 14.789, 14.840, 14.873, 14.923, 14.997, 15.187, 15.194, 15.286, 15.339, 15.423, 15.446, 15.541, 15.708, 15.712, 15.775, 15.796, 15.992, 16.032, 16.101, 16.138, 16.285, 16.323, 16.410, 16.470, 16.595, 16.685, 16.766, 16.769, 16.831, 16.859, 16.864, 16.967, 17.135, 17.171, 17.256, 17.365, 17.395, 17.406, 17.443, 17.505, 17.671, 17.678, 17.678, 17.745, 17.766, 17.983, 17.990, 18.038, 18.041, 18.056, 18.115, 18.311, 18.311, 18.329, 18.451, 18.490, 18.504, 18.551, 18.707, 18.765, 18.872, 18.999, 19.018, 19.018, 19.018, 19.018, 19.143, 19.197, 19.291, 19.377, 19.404, 19.587, 19.587, 19.613, 19.773, 19.709, 19.850, 19.892, 19.892, 19.892, 20.033, 20.033, 20.261, 20.294, 20.294, 20.294, 20.463, 20.494, 20.499, 20.501, 20.557, 20.557, 20.769, 20.794, 20.836, 20.836, 20.851, 20.877, 20.856, 21.108, 21.143, 20.891, 21.143, 21.199, 21.199, 21.349, 21.350, 21.349, 21.350, 21.455, 21.455, 21.515, 21.526, 21.526, 21.570, 21.821, 21.962, 22.079, 21.978, 21.978, 21.978, 21.962, 21.864, 21.864, 21.864, 21.864, 22.236, 22.283, 22.283, 22.283, 22.316, 22.371, 22.895, 22.895
7.97,13.915 ,13.924 ,11.470 ,44.124 ,4.568 ,8.766 ,9.885 ,62.479 ,39.997,1352,NORM,2,400,900,663000,7.887, 7.894, 7.965, 7.966, 7.982, 8.055, 8.090, 8.165, 8.194, 8.229, 8.230, 8.273, 8.313, 8.358, 8.361, 8.481, 8.714, 8.756, 8.937, 9.077, 9.150, 9.266, 9.318, 9.349, 9.402, 9.561, 9.637, 9.657, 9.795, 9.855, 9.963, 9.985, 10.093, 10.187, 10.249, 10.270, 10.270, 10.270, 10.249, 10.249, 10.249, 10.359, 10.359, 10.415, 10.624, 10.727, 10.873, 10.890, 11.086, 11.156, 11.323, 11.466, 11.530, 11.551, 11.753, 11.943, 12.025, 12.048, 12.209, 12.224, 12.363, 12.519, 12.534, 12.715, 12.851, 12.923, 13.086, 13.205, 13.351, 13.442, 13.639, 13.680, 13.857, 13.943, 14.053, 14.081, 14.367, 14.385, 14.496, 14.557, 14.711, 14.830, 14.856, 15.102, 15.118, 15.238, 15.285, 15.306, 15.412, 15.567, 15.579, 15.633, 15.681, 15.761, 15.894, 15.942, 16.053, 16.116, 16.126, 16.130, 16.289, 16.296, 16.319, 16.364, 16.366, 16.429, 16.431, 16.477, 16.654, 16.670, 16.687, 16.737, 16.789, 16.799, 16.799, 16.853, 16.962, 16.997, 17.031, 17.048, 17.087, 17.202, 17.329, 17.330, 17.334, 17.357, 17.473, 17.497, 17.559, 17.643, 17.674, 17.679, 17.782, 17.826, 17.899, 17.907, 17.931, 17.964, 18.137, 18.176, 18.179, 18.352, 18.359, 18.410, 18.414, 18.450, 18.480, 18.522, 18.664, 18.673, 18.673, 18.848, 18.866, 18.869, 19.000, 19.008, 19.023, 19.030, 19.059, 19.143, 19.155, 19.209, 19.213, 19.390, 19.399, 19.402, 19.455, 19.525, 19.641, 19.665, 19.694, 19.752, 19.904, 19.906, 19.906, 19.906, 20.095, 20.230, 20.249, 20.322, 20.322, 20.334, 20.396, 20.500, 20.559, 20.617, 20.626, 20.626, 20.864, 20.864, 20.974, 20.983, 20.983, 21.019, 21.176, 21.234, 21.236, 21.301, 21.301, 21.411, 21.467, 21.486, 21.486, 21.486, 21.654, 21.661, 21.675, 21.718, 21.718, 21.832, 21.922, 22.065, 22.142, 22.065, 22.065, 22.275, 22.371, 22.427, 22.495, 22.589, 22.683, 22.589, 22.663, 22.589, 22.589, 22.589, 22.654, 22.654, 22.663, 22.931, 22.931, 23.005, 23.038, 23.038, 23.038, 23.032, 23.032, 23.038, 23.032, 23.031, 23.031, 23.062, 23.105, 23.105, 23.105, 23.145, 23.145, 23.200, 23.411, 23.635, 23.846
9.97,13.578 ,13.527 ,10.294 ,43.546 ,4.914 ,11.130 ,12.167 ,66.178 ,39.997,1348,NORM,2,400,900,663000,6.529, 6.555, 6.608, 6.652, 6.679, 6.724, 6.853, 6.895, 6.919, 7.016, 7.049, 7.067, 7.104, 7.111, 7.300, 7.362, 7.622, 7.629, 7.834, 7.843, 8.040, 8.148, 8.191, 8.262, 8.430, 8.486, 8.620, 8.709, 8.881, 9.056, 9.079, 9.104, 9.168, 9.444, 9.454, 9.502, 9.547, 9.632, 9.758, 9.763, 9.766, 9.825, 9.915, 9.983, 10.073, 10.131, 10.218, 10.307, 10.386, 10.410, 10.611, 10.707, 10.881, 10.914, 11.012, 11.169, 11.401, 11.408, 11.460, 11.608, 11.757, 11.859, 11.930, 12.145, 12.272, 12.412, 12.479, 12.642, 12.797, 12.938, 13.174, 13.180, 13.386, 13.518, 13.617, 13.682, 13.961, 14.000, 14.070, 14.219, 14.397, 14.489, 14.514, 14.696, 14.818, 14.901, 15.043, 15.151, 15.196, 15.250, 15.391, 15.469, 15.547, 15.654, 15.715, 15.823, 15.890, 15.924, 15.974, 15.987, 16.177, 16.181, 16.246, 16.290, 16.372, 16.417, 16.436, 16.527, 16.538, 16.626, 16.713, 16.769, 16.825, 16.850, 16.864, 16.915, 16.986, 17.021, 17.126, 17.183, 17.241, 17.264, 17.411, 17.458, 17.483, 17.490, 17.610, 17.646, 17.762, 17.810, 17.925, 17.953, 18.090, 18.180, 18.196, 18.294, 18.356, 18.450, 18.553, 18.586, 18.638, 18.677, 18.858, 18.892, 18.969, 19.051, 19.106, 19.158, 19.193, 19.198, 19.272, 19.366, 19.437, 19.445, 19.601, 19.643, 19.779, 19.872, 19.884, 19.923, 19.976, 20.069, 20.102, 20.206, 20.233, 20.238, 20.257, 20.309, 20.451, 20.515, 20.583, 20.638, 20.754, 20.798, 20.806, 21.029, 21.091, 21.179, 21.213, 21.226, 21.245, 21.386, 21.410, 21.464, 21.496, 21.514, 21.541, 21.560, 21.714, 21.830, 21.900, 22.092, 22.092, 22.176, 22.188, 22.190, 22.306, 22.359, 22.359, 22.445, 22.503, 22.503, 22.503, 22.571, 22.657, 22.719, 22.719, 22.859, 22.946, 22.946, 23.048, 23.127, 23.253, 23.253, 23.253, 23.131, 23.483, 23.597, 23.521, 23.486, 23.521, 23.486, 23.486, 23.521, 23.521, 23.617, 23.667, 23.667, 23.925, 23.958, 23.925, 23.925, 24.046, 24.064, 24.161, 24.064, 24.046, 24.046, 23.999, 23.863, 23.849, 23.849, 23.849, 23.863, 24.450, 24.603, 24.603, 24.612, 24.612, 24.649, 25.025
11.97,11.850 ,11.824 ,9.112 ,40.935 ,4.563 ,10.276 ,11.244 ,66.056 ,39.997,1345,NORM,2,400,900,663000,5.959, 5.959, 5.959, 5.991, 5.994, 6.002, 6.118, 6.138, 6.152, 6.207, 6.211, 6.346, 6.356, 6.393, 6.574, 6.589, 6.842, 6.871, 7.044, 7.063, 7.089, 7.257, 7.382, 7.382, 7.460, 7.460, 7.616, 7.711, 7.936, 7.982, 8.092, 8.150, 8.214, 8.285, 8.285, 8.308, 8.308, 8.308, 8.336, 8.336, 8.383, 8.438, 8.486, 8.650, 8.702, 8.782, 8.846, 8.942, 9.080, 9.169, 9.182, 9.400, 9.550, 9.606, 9.743, 9.908, 9.991, 10.091, 10.093, 10.211, 10.330, 10.450, 10.635, 10.649, 10.822, 10.850, 10.992, 11.122, 11.228, 11.390, 11.559, 11.613, 11.797, 11.881, 11.971, 12.009, 12.219, 12.222, 12.366, 12.454, 12.544, 12.667, 12.723, 12.893, 12.915, 13.048, 13.056, 13.233, 13.278, 13.370, 13.398, 13.409, 13.569, 13.642, 13.726, 13.737, 13.757, 13.858, 13.983, 14.050, 14.095, 14.117, 14.171, 14.183, 14.183, 14.275, 14.340, 14.348, 14.392, 14.408, 14.476, 14.491, 14.548, 14.580, 14.637, 14.677, 14.694, 14.754, 14.835, 14.861, 14.879, 14.903, 14.974, 14.976, 14.990, 15.024, 15.129, 15.137, 15.210, 15.260, 15.273, 15.276, 15.467, 15.467, 15.498, 15.539, 15.556, 15.673, 15.702, 15.714, 15.761, 15.794, 15.898, 15.924, 15.992, 15.992, 16.046, 16.054, 16.183, 16.210, 16.229, 16.312, 16.377, 16.377, 16.420, 16.420, 16.457, 16.486, 16.514, 16.602, 16.619, 16.655, 16.683, 16.799, 16.851, 16.852, 16.890, 16.890, 17.045, 17.063, 17.124, 17.128, 17.204, 17.232, 17.301, 17.406, 17.406, 17.484, 17.511, 17.511, 17.610, 17.610, 17.645, 17.708, 17.727, 17.776, 17.854, 17.913, 17.930, 17.993, 18.061, 18.221, 18.336, 18.337, 18.398, 18.445, 18.570, 18.596, 18.596, 18.672, 18.704, 18.704, 18.704, 18.713, 18.729, 18.753, 18.879, 18.879, 18.879, 18.879, 18.879, 18.879, 19.096, 19.096, 19.183, 19.272, 19.272, 19.559, 19.522, 19.272, 19.522, 19.522, 19.741, 19.741, 19.522, 19.367, 19.473, 19.473, 19.473, 19.473, 19.473, 19.658, 19.888, 19.888, 19.800, 19.800, 19.790, 19.790, 19.790, 19.761, 19.670, 19.670, 19.670, 19.670, 19.816, 19.969, 19.969, 20.380, 20.380, 20.422, 20.598
13.97,13.414 ,13.384 ,10.345 ,43.336 ,4.757 ,10.620 ,11.636 ,65.870 ,39.997,1356,NORM,2,400,900,663000,6.774, 6.774, 6.774, 6.807, 6.874, 6.896, 7.013, 7.032, 7.060, 7.104, 7.166, 7.231, 7.283, 7.329, 7.475, 7.575, 7.721, 7.797, 8.016, 8.092, 8.094, 8.249, 8.351, 8.468, 8.532, 8.565, 8.799, 8.837, 8.857, 9.084, 9.095, 9.129, 9.162, 9.254, 9.254, 9.264, 9.379, 9.394, 9.440, 9.440, 9.493, 9.529, 9.623, 9.762, 9.769, 9.910, 9.956, 10.152, 10.306, 10.329, 10.497, 10.720, 10.835, 10.884, 11.029, 11.246, 11.352, 11.389, 11.494, 11.512, 11.717, 11.800, 11.956, 12.099, 12.218, 12.450, 12.586, 12.592, 12.744, 12.843, 13.064, 13.117, 13.316, 13.468, 13.558, 13.563, 13.761, 13.867, 13.996, 14.033, 14.187, 14.332, 14.400, 14.592, 14.680, 14.787, 14.839, 14.989, 14.992, 15.179, 15.214, 15.262, 15.341, 15.437, 15.539, 15.564, 15.595, 15.677, 15.742, 15.830, 15.923, 15.974, 15.983, 16.005, 16.065, 16.086, 16.134, 16.268, 16.272, 16.316, 16.319, 16.413, 16.439, 16.542, 16.543, 16.554, 16.617, 16.687, 16.715, 16.776, 16.821, 16.850, 16.871, 16.984, 17.078, 17.082, 17.105, 17.125, 17.190, 17.269, 17.297, 17.303, 17.467, 17.473, 17.524, 17.565, 17.591, 17.635, 17.643, 17.802, 17.811, 17.878, 17.938, 17.992, 17.992, 18.052, 18.058, 18.113, 18.213, 18.312, 18.343, 18.380, 18.423, 18.428, 18.434, 18.462, 18.564, 18.611, 18.658, 18.677, 18.706, 18.768, 18.895, 18.916, 18.923, 18.942, 18.986, 19.030, 19.162, 19.167, 19.195, 19.224, 19.224, 19.265, 19.434, 19.524, 19.579, 19.601, 19.759, 19.842, 19.842, 19.842, 19.937, 19.970, 20.089, 20.112, 20.172, 20.257, 20.261, 20.334, 20.403, 20.409, 20.417, 20.630, 20.689, 20.729, 20.785, 20.904, 20.785, 20.859, 20.955, 21.124, 21.124, 21.209, 21.209, 21.248, 21.248, 21.248, 21.260, 21.331, 21.394, 21.504, 21.610, 21.610, 21.677, 21.929, 21.929, 21.950, 21.950, 21.929, 21.958, 21.958, 22.030, 22.210, 22.210, 22.448, 22.448, 22.448, 22.449, 22.538, 22.538, 22.538, 22.538, 22.673, 22.673, 22.673, 22.622, 22.622, 22.622, 22.622, 22.622, 22.622, 22.595, 22.595, 22.894, 22.965, 22.894, 23.073, 23.194, 23.194, 23.194
15.97,13.452 ,13.359 ,9.900 ,43.300 ,5.164 ,11.888 ,12.961 ,66.521 ,39.997,1358,NORM,2,400,900,663000,6.207, 6.207, 6.264, 6.284, 6.317, 6.351, 6.501, 6.547, 6.607, 6.682, 6.700, 6.702, 6.784, 6.850, 7.083, 7.122, 7.284, 7.501, 7.564, 7.684, 7.694, 7.809, 7.883, 8.000, 8.158, 8.217, 8.293, 8.341, 8.508, 8.686, 8.710, 8.876, 9.031, 9.046, 9.071, 9.084, 9.108, 9.108, 9.149, 9.173, 9.280, 9.388, 9.392, 9.661, 9.698, 9.699, 9.842, 9.873, 10.126, 10.163, 10.321, 10.401, 10.585, 10.598, 10.799, 10.966, 11.111, 11.175, 11.240, 11.335, 11.560, 11.561, 11.803, 11.929, 12.060, 12.219, 12.352, 12.508, 12.619, 12.743, 12.912, 12.978, 13.184, 13.292, 13.497, 13.538, 13.759, 13.846, 14.004, 14.127, 14.230, 14.407, 14.420, 14.589, 14.653, 14.876, 14.894, 15.046, 15.098, 15.174, 15.304, 15.380, 15.512, 15.594, 15.652, 15.738, 15.783, 15.814, 15.951, 15.995, 16.122, 16.145, 16.199, 16.216, 16.320, 16.372, 16.399, 16.467, 16.572, 16.576, 16.643, 16.671, 16.792, 16.794, 16.870, 16.883, 16.991, 17.075, 17.143, 17.191, 17.234, 17.254, 17.395, 17.491, 17.502, 17.547, 17.613, 17.618, 17.727, 17.728, 17.868, 17.902, 17.913, 18.030, 18.140, 18.238, 18.262, 18.330, 18.408, 18.486, 18.507, 18.697, 18.793, 18.808, 18.813, 18.873, 18.906, 18.991, 19.038, 19.155, 19.274, 19.286, 19.309, 19.311, 19.383, 19.407, 19.467, 19.611, 19.664, 19.733, 19.854, 19.867, 19.952, 19.964, 20.052, 20.068, 20.111, 20.136, 20.321, 20.381, 20.483, 20.529, 20.529, 20.568, 20.580, 20.628, 20.680, 20.976, 21.029, 21.085, 21.133, 21.179, 21.179, 21.214, 21.253, 21.337, 21.337, 21.512, 21.702, 21.702, 21.809, 21.826, 21.848, 21.857, 22.024, 21.913, 22.024, 22.028, 22.028, 22.110, 22.155, 22.258, 22.258, 22.258, 22.431, 22.479, 22.501, 22.501, 22.560, 22.560, 22.666, 22.817, 23.046, 22.863, 22.863, 23.134, 23.149, 23.248, 23.249, 23.248, 23.249, 23.249, 23.333, 23.345, 23.345, 23.390, 23.498, 23.421, 23.498, 23.644, 23.498, 23.644, 23.825, 23.889, 24.013, 23.923, 23.923, 23.923, 23.923, 23.642, 23.642, 23.642, 23.642, 24.236, 24.236, 24.236, 24.236, 24.272, 24.300, 24.716, 25.150
