"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","Reflectance L*","Reflectance a*","Reflectance b*","Tristimulus X","Tristimulus Y","Tristimulus Z","Normalized spectral data link","Unnormalized spectral data link","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","A","91.6","0.916","0.916","43.91","2.71","6.02","13.48","13.77","12.35","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","91.8","0.918","0.918","43.94","2.59","5.83","13.48","13.79","12.44","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","92.0","0.920","0.920","44.01","2.65","5.95","13.54","13.85","12.45","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","92.2","0.922","0.922","43.83","2.6","5.81","13.41","13.72","12.39","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","92.4","0.924","0.924","43.9","2.49","6.02","13.44","13.77","12.35","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","92.6","0.926","0.926","43.97","2.57","5.75","13.5","13.82","12.5","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","92.8","0.928","0.928","43.59","2.55","5.84","13.24","13.56","12.21","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","93.0","0.930","0.930","43.3","2.6","5.78","13.06","13.36","12.05","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","93.2","0.932","0.932","43.23","2.62","6.19","13.02","13.31","11.85","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","93.4","0.934","0.934","43.25","2.64","6.36","13.03","13.32","11.8","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","93.6","0.936","0.936","43","2.56","6.07","12.86","13.16","11.75","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","93.8","0.938","0.938","43.32","2.58","5.69","13.07","13.37","12.09","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","94.0","0.940","0.940","43.38","2.57","5.61","13.11","13.41","12.16","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","94.2","0.942","0.942","43.71","2.55","5.49","13.32","13.64","12.43","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","94.4","0.944","0.944","43.78","2.63","5.57","13.38","13.69","12.44","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","94.6","0.946","0.946","43.66","2.59","5.34","13.29","13.6","12.45","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","94.8","0.948","0.948","43.45","2.61","5.51","13.16","13.46","12.25","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","95.0","0.950","0.950","43.39","2.65","5.35","13.13","13.42","12.27","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","95.2","0.952","0.952","43.18","2.55","5.07","12.97","13.28","12.23","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","95.4","0.954","0.954","43.55","2.63","5.16","13.23","13.53","12.44","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","95.6","0.956","0.956","44.52","2.73","5.25","13.89","14.2","13.06","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","95.8","0.958","0.958","44.48","2.88","5.89","13.89","14.18","12.79","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","96.0","0.960","0.960","44.09","2.82","6.32","13.61","13.9","12.36","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","96.2","0.962","0.962","43.78","2.8","6.07","13.41","13.69","12.25","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","96.4","0.964","0.964","43.74","2.78","6.06","13.38","13.66","12.23","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","96.6","0.966","0.966","43.91","2.75","6.13","13.49","13.78","12.32","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","96.8","0.968","0.968","44.13","2.77","6.06","13.63","13.93","12.48","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","97.0","0.970","0.970","44.15","2.75","5.88","13.65","13.94","12.57","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","97.2","0.972","0.972","44.09","2.68","5.48","13.6","13.9","12.68","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","97.4","0.974","0.974","44.15","2.7","5.64","13.64","13.94","12.66","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","97.6","0.976","0.976","44.27","2.69","5.62","13.72","14.03","12.75","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","97.8","0.978","0.978","44.25","2.7","5.88","13.71","14.01","12.63","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","98.0","0.980","0.980","44.41","2.79","6.13","13.83","14.12","12.64","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","98.2","0.982","0.982","44.5","2.71","6.01","13.88","14.19","12.75","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","98.4","0.984","0.984","45.09","2.85","6.16","14.31","14.61","13.09","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","98.6","0.986","0.986","45.54","2.89","6.74","14.63","14.93","13.17","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","98.8","0.988","0.988","45.97","2.87","5.95","14.93","15.25","13.79","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","99.0","0.990","0.990","44.97","2.92","6.75","14.23","14.52","12.77","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","99.2","0.992","0.992","45.26","2.9","6.64","14.43","14.73","13.02","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","99.4","0.994","0.994","45.5","2.89","6.51","14.6","14.9","13.23","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","99.6","0.996","0.996","46.1","2.88","5.74","15.02","15.34","13.96","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","99.8","0.998","0.998","47.41","2.89","4.18","15.98","16.33","15.6","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","100.0","1.000","1.000","47.06","2.79","3.85","15.71","16.06","15.48","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","100.2","1.002","1.002","48.06","2.88","2.82","16.47","16.84","16.73","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","100.4","1.004","1.004","47.6","2.84","2.87","16.12","16.48","16.34","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","100.6","1.006","1.006","46.91","2.81","3.78","15.6","15.95","15.4","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","100.8","1.008","1.008","45.5","2.76","5.42","14.58","14.9","13.67","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
